id,username,user_query,topic,mood,sentiment,created_at
1,None,I want to learn about Python.,python,neutral,0.0,None
2,None,I want to learn about Google Cloud.,cloud,neutral,0.0,None
3,None,I want to learn about Python.,python,neutral,0.0,None
4,None,I want to learn about Python.,python,neutral,0.0,None
5,None,I want to learn about Python.,python,neutral,0.0,None
6,None,I want to learn about Python.,python,neutral,0.0,None
7,None,I want to learn about Java.,general,neutral,0.0,None
8,None,I want to learn about C++.,general,neutral,0.0,None
9,None,I want to learn about TensorFlow.,general,neutral,0.0,None
10,None,learn cyber security
,general,neutral,0.0,None
11,None,learn aktu math 4
,general,neutral,0.0,None
12,None,I want to learn about Azure.,general,neutral,0.0,None
13,None,I want to learn Discover cloud infrastructure by Google for smart solutions.,cloud,neutral,0.21428571428571427,None
14,None,I want to learn Microsoft’s cloud platform for developers and enterprises.,cloud,neutral,0.0,None
15,None,I want to learn Microsoft’s cloud platform for developers and enterprises.,cloud,neutral,0.0,None
16,None,i want learn cyber security
,general,neutral,0.0,None
17,None,theory of automata ,general,neutral,0.0,None
18,None,computer network
,general,neutral,0.0,None
19,None,computer network,general,neutral,0.0,None
20,None,computer
,general,neutral,0.0,None
21,None,ai theory,ai,neutral,0.0,None
22,None,I want to learn Start your journey with Python — beginner friendly & versatile.,python,excited,0.375,None
23,None,I want to learn Discover cloud infrastructure by Google for smart solutions.,cloud,neutral,0.21428571428571427,None
24,None,I want to learn Discover cloud infrastructure by Google for smart scyber security
olutions.,cloud,neutral,0.21428571428571427,None
25,None,cyber securty
,general,neutral,0.0,None
26,None,java,general,neutral,0.0,None
27,None,cyber
,general,neutral,0.0,None
28,None,I want to learn Learn AWS, Azure, and Google Cloud for scalable app deployment.,cloud,neutral,0.0,None
29,None,I want to learn Dive into TensorFlow, PyTorch, and Scikit-learn with guided tutorials.,general,neutral,0.0,None
30,None,I want to learn Learn AWS, Azure, and Google Cloud for scalable app deployment.,cloud,neutral,0.0,None
31,None,I want to learn Dive into TensorFlow, PyTorch, and Scikit-learn with guided tutorials.,general,neutral,0.0,None
32,None,,general,neutral,0.0,None
